skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Ansible,Advanced,What is Ansible Vault used for?,Encrypt secrets,Run playbooks,Manage inventory,Create roles,A,Ansible Vault secures sensitive data like passwords and keys.,Security,https://docs.ansible.com/ansible/latest/vault_guide/index.html,https://youtube.com/results?search_query=ansible+vault+advanced,https://youtube.com/results?search_query=ansible+vault+hindi,https://youtube.com/results?search_query=ansible+vault+kannada,https://youtube.com/results?search_query=ansible+vault+tamil,https://youtube.com/results?search_query=ansible+vault+telugu
Ansible,Advanced,Command to encrypt file?,ansible-vault encrypt,ansible encrypt,vault lock,secure file,A,Used to encrypt YAML or files.,Security,https://docs.ansible.com/ansible/latest/cli/ansible-vault.html,https://youtube.com/results?search_query=ansible+vault+advanced,https://youtube.com/results?search_query=ansible+vault+hindi,https://youtube.com/results?search_query=ansible+vault+kannada,https://youtube.com/results?search_query=ansible+vault+tamil,https://youtube.com/results?search_query=ansible+vault+telugu
Ansible,Advanced,What is a Role in Ansible?,Reusable structure,Inventory list,SSH config,Plugin,A,Roles organize tasks, vars, handlers.,Roles,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html,https://youtube.com/results?search_query=ansible+roles+advanced,https://youtube.com/results?search_query=ansible+roles+hindi,https://youtube.com/results?search_query=ansible+roles+kannada,https://youtube.com/results?search_query=ansible+roles+tamil,https://youtube.com/results?search_query=ansible+roles+telugu
Ansible,Advanced,Default folder for roles?,roles/,tasks/,vars/,group_vars,A,Roles directory stores role definitions.,Roles,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html,https://youtube.com/results?search_query=ansible+roles+advanced,https://youtube.com/results?search_query=ansible+roles+hindi,https://youtube.com/results?search_query=ansible+roles+kannada,https://youtube.com/results?search_query=ansible+roles+tamil,https://youtube.com/results?search_query=ansible+roles+telugu
Ansible,Advanced,What are Handlers?,Triggered tasks,Variables,Plugins,Inventory,A,Handlers run only when notified.,Handlers,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_handlers.html,https://youtube.com/results?search_query=ansible+handlers+tutorial,https://youtube.com/results?search_query=ansible+handlers+hindi,https://youtube.com/results?search_query=ansible+handlers+kannada,https://youtube.com/results?search_query=ansible+handlers+tamil,https://youtube.com/results?search_query=ansible+handlers+telugu

Ansible,Advanced,What is Dynamic Inventory?,Auto-generated hosts,Static file,Manual list,Plugin,A,Dynamic inventory pulls hosts from cloud/APIs.,Inventory,https://docs.ansible.com/ansible/latest/inventory_guide/intro_dynamic_inventory.html,https://youtube.com/results?search_query=ansible+dynamic+inventory,https://youtube.com/results?search_query=ansible+dynamic+inventory+hindi,https://youtube.com/results?search_query=ansible+dynamic+inventory+kannada,https://youtube.com/results?search_query=ansible+dynamic+inventory+tamil,https://youtube.com/results?search_query=ansible+dynamic+inventory+telugu
Ansible,Advanced,Which file defines inventory?,hosts,inventory.yml,servers.txt,nodes.yml,A,Hosts file lists managed nodes.,Inventory,https://docs.ansible.com/ansible/latest/inventory_guide/intro_inventory.html,https://youtube.com/results?search_query=ansible+inventory+advanced,https://youtube.com/results?search_query=ansible+inventory+hindi,https://youtube.com/results?search_query=ansible+inventory+kannada,https://youtube.com/results?search_query=ansible+inventory+tamil,https://youtube.com/results?search_query=ansible+inventory+telugu
Ansible,Advanced,What is a Callback Plugin?,Custom output handler,Task runner,Inventory manager,SSH tool,A,Callback plugins control output/logging.,Plugins,https://docs.ansible.com/ansible/latest/plugins/callback.html,https://youtube.com/results?search_query=ansible+callback+plugin,https://youtube.com/results?search_query=ansible+callback+plugin+hindi,https://youtube.com/results?search_query=ansible+callback+plugin+kannada,https://youtube.com/results?search_query=ansible+callback+plugin+tamil,https://youtube.com/results?search_query=ansible+callback+plugin+telugu
Ansible,Advanced,What is Idempotency?,Same result repeatedly,Looping tasks,SSH config,Inventory,A,Ensures repeated runs don’t change state.,Concepts,https://docs.ansible.com/ansible/latest/reference_appendices/glossary.html,https://youtube.com/results?search_query=ansible+idempotency,https://youtube.com/results?search_query=ansible+idempotency+hindi,https://youtube.com/results?search_query=ansible+idempotency+kannada,https://youtube.com/results?search_query=ansible+idempotency+tamil,https://youtube.com/results?search_query=ansible+idempotency+telugu
Ansible,Advanced,What is Ansible Galaxy?,Role repository,Playbook runner,SSH server,Inventory,A,Galaxy shares community roles.,Galaxy,https://galaxy.ansible.com,https://youtube.com/results?search_query=ansible+galaxy+advanced,https://youtube.com/results?search_query=ansible+galaxy+hindi,https://youtube.com/results?search_query=ansible+galaxy+kannada,https://youtube.com/results?search_query=ansible+galaxy+tamil,https://youtube.com/results?search_query=ansible+galaxy+telugu

Ansible,Advanced,What is become used for?,Privilege escalation,Looping,Variables,SSH login,A,Used for sudo/root access.,Privileges,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_privilege_escalation.html,https://youtube.com/results?search_query=ansible+become+sudo,https://youtube.com/results?search_query=ansible+become+hindi,https://youtube.com/results?search_query=ansible+become+kannada,https://youtube.com/results?search_query=ansible+become+tamil,https://youtube.com/results?search_query=ansible+become+telugu
