skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Ansible,Intermediate,What is a Role in Ansible?,Reusable folder structure,Inventory file,SSH key,Plugin,A,Roles organize tasks, vars, handlers, and templates.,Roles,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html,https://youtube.com/results?search_query=ansible+roles+tutorial,https://youtube.com/results?search_query=ansible+roles+hindi,https://youtube.com/results?search_query=ansible+roles+kannada,https://youtube.com/results?search_query=ansible+roles+tamil,https://youtube.com/results?search_query=ansible+roles+telugu
Ansible,Intermediate,Folder containing main tasks in role?,tasks/,vars/,files/,meta/,A,tasks/main.yml stores primary role tasks.,Roles,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_reuse_roles.html,https://youtube.com/results?search_query=ansible+roles+tutorial,https://youtube.com/results?search_query=ansible+roles+hindi,https://youtube.com/results?search_query=ansible+roles+kannada,https://youtube.com/results?search_query=ansible+roles+tamil,https://youtube.com/results?search_query=ansible+roles+telugu
Ansible,Intermediate,What is a Handler?,Triggered task,Inventory list,Module,SSH tool,A,Handlers run when notified.,Handlers,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_handlers.html,https://youtube.com/results?search_query=ansible+handlers+tutorial,https://youtube.com/results?search_query=ansible+handlers+hindi,https://youtube.com/results?search_query=ansible+handlers+kannada,https://youtube.com/results?search_query=ansible+handlers+tamil,https://youtube.com/results?search_query=ansible+handlers+telugu
Ansible,Intermediate,Keyword to trigger handler?,notify,call,trigger,run,A,notify activates handlers.,Handlers,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_handlers.html,https://youtube.com/results?search_query=ansible+handlers+tutorial,https://youtube.com/results?search_query=ansible+handlers+hindi,https://youtube.com/results?search_query=ansible+handlers+kannada,https://youtube.com/results?search_query=ansible+handlers+tamil,https://youtube.com/results?search_query=ansible+handlers+telugu
Ansible,Intermediate,What is become used for?,Privilege escalation,Looping,Encryption,Inventory,A,become allows sudo/root access.,Privileges,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_privilege_escalation.html,https://youtube.com/results?search_query=ansible+become+sudo,https://youtube.com/results?search_query=ansible+become+hindi,https://youtube.com/results?search_query=ansible+become+kannada,https://youtube.com/results?search_query=ansible+become+tamil,https://youtube.com/results?search_query=ansible+become+telugu

Ansible,Intermediate,What is Ansible Vault?,Encryption tool,Playbook runner,Inventory file,Plugin,A,Vault secures secrets.,Security,https://docs.ansible.com/ansible/latest/vault_guide/index.html,https://youtube.com/results?search_query=ansible+vault+tutorial,https://youtube.com/results?search_query=ansible+vault+hindi,https://youtube.com/results?search_query=ansible+vault+kannada,https://youtube.com/results?search_query=ansible+vault+tamil,https://youtube.com/results?search_query=ansible+vault+telugu
Ansible,Intermediate,Command to create vault file?,ansible-vault create,vault-create,secure-file,encrypt-file,A,Creates encrypted file.,Security,https://docs.ansible.com/ansible/latest/cli/ansible-vault.html,https://youtube.com/results?search_query=ansible+vault+tutorial,https://youtube.com/results?search_query=ansible+vault+hindi,https://youtube.com/results?search_query=ansible+vault+kannada,https://youtube.com/results?search_query=ansible+vault+tamil,https://youtube.com/results?search_query=ansible+vault+telugu
Ansible,Intermediate,What is Dynamic Inventory?,Auto host list,Static file,Plugin,SSH key,A,Dynamic inventory pulls from cloud APIs.,Inventory,https://docs.ansible.com/ansible/latest/inventory_guide/intro_dynamic_inventory.html,https://youtube.com/results?search_query=ansible+dynamic+inventory,https://youtube.com/results?search_query=ansible+dynamic+inventory+hindi,https://youtube.com/results?search_query=ansible+dynamic+inventory+kannada,https://youtube.com/results?search_query=ansible+dynamic+inventory+tamil,https://youtube.com/results?search_query=ansible+dynamic+inventory+telugu
Ansible,Intermediate,What is a Tag?,Task label,Role,Inventory,Variable,A,Tags allow selective execution.,Execution,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_tags.html,https://youtube.com/results?search_query=ansible+tags+tutorial,https://youtube.com/results?search_query=ansible+tags+hindi,https://youtube.com/results?search_query=ansible+tags+kannada,https://youtube.com/results?search_query=ansible+tags+tamil,https://youtube.com/results?search_query=ansible+tags+telugu
Ansible,Intermediate,Loop keyword in Ansible?,loop,for,while,repeat,A,loop iterates items.,Execution,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_loops.html,https://youtube.com/results?search_query=ansible+loops+tutorial,https://youtube.com/results?search_query=ansible+loops+hindi,https://youtube.com/results?search_query=ansible+loops+kannada,https://youtube.com/results?search_query=ansible+loops+tamil,https://youtube.com/results?search_query=ansible+loops+telugu

Ansible,Intermediate,What is Jinja2?,Template engine,Plugin,Inventory tool,SSH key,A,Jinja2 renders dynamic templates.,Templating,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_templating.html,https://youtube.com/results?search_query=ansible+jinja2+tutorial,https://youtube.com/results?search_query=ansible+jinja2+hindi,https://youtube.com/results?search_query=ansible+jinja2+kannada,https://youtube.com/results?search_query=ansible+jinja2+tamil,https://youtube.com/results?search_query=ansible+jinja2+telugu
Ansible,Intermediate,Template file extension?,.j2,.tpl,.yaml,.cfg,A,Jinja2 templates use .j2 extension.,Templating,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_templating.html,https://youtube.com/results?search_query=ansible+jinja2+tutorial,https://youtube.com/results?search_query=ansible+jinja2+hindi,https://youtube.com/results?search_query=ansible+jinja2+kannada,https://youtube.com/results?search_query=ansible+jinja2+tamil,https://youtube.com/results?search_query=ansible+jinja2+telugu
Ansible,Intermediate,Condition keyword?,when,if,condition,check,A,when executes conditionally.,Execution,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_conditionals.html,https://youtube.com/results?search_query=ansible+when+condition,https://youtube.com/results?search_query=ansible+when+hindi,https://youtube.com/results?search_query=ansible+when+kannada,https://youtube.com/results?search_query=ansible+when+tamil,https://youtube.com/results?search_query=ansible+when+telugu
Ansible,Intermediate,What is register used for?,Store output,Loop,Encrypt,Inventory,A,register stores task output.,Variables,https://docs.ansible.com/ansible/latest/playbook_guide/playbooks_variables.html,https://youtube.com/results?search_query=ansible+register+variable,https://youtube.com/results?search_query=ansible+register+hindi,https://youtube.com/results?search_query=ansible+register+kannada,https://youtube.com/results?search_query=ansible+register+tamil,https://youtube.com/results?search_query=ansible+register+telugu
